수집된 시간,상품명,가격,시간,지역 정보
2024-11-30 05:00:18,할인특가)럭키슈에뜨,"105,000",1분 전,지역정보 없음
2024-11-30 05:00:18,럭키슈에뜨원피스,"167,000",1분 전,지역정보 없음
2024-11-30 05:00:18,럭키슈에뜨셔츠,"50,000",1분 전,지역정보 없음
2024-11-30 05:00:18,"여성 원피스, 가방 등 교신가능!!","1,004",1분 전,서울특별시 광진구 구의제1동
2024-11-30 05:00:18,막스카라(브랜드)트위드퀼트자켓새상품,"50,000",1분 전,지역정보 없음
2024-11-30 05:00:18,뽀글이 롱코트 새상품 프리사이즈,"70,000",1분 전,지역정보 없음
2024-11-30 05:00:18,이태리 알파카코트55.66 새상품,"290,000",1분 전,지역정보 없음
2024-11-30 05:00:18,여성베스트66새상품 블랙,"40,000",1분 전,지역정보 없음
2024-11-30 05:00:18,moett 울100 핸드메이드 벨트 반코트,"80,000",AD,지역정보 없음
2024-11-30 05:00:18,쟈딕앤볼테르 리버시블 KASSY 자켓 4계절 야상 자켓 55-66,"70,000",1분 전,경상남도 창원시 마산회원구 양덕2동
2024-11-30 05:00:18,노비야카 가디건 차콜,"24,000",1분 전,지역정보 없음
2024-11-30 05:00:18,로우클래식 스트라이프 티셔츠,"48,000",1분 전,지역정보 없음
2024-11-30 05:00:18,위드아웃썸머 보울 핸드메이드 코트 민트,"73,000",1분 전,지역정보 없음
2024-11-30 05:00:19,무료배송 아이더 스투키 패딩 블랙 퍼 숏패딩 L,"120,000",AD,지역정보 없음
2024-11-30 05:00:19,쓰리타임즈 원피스,"66,000",1분 전,지역정보 없음
2024-11-30 05:00:19,비비안웨스트우드 베아 크롭 가디건 오프화이트,"345,000",1분 전,지역정보 없음
2024-11-30 05:00:19,노비야카 니트,"20,000",1분 전,지역정보 없음
2024-11-30 05:00:19,호와스 레더 자켓,"75,000",1분 전,지역정보 없음
2024-11-30 05:00:19,[정품/새상품] 폴로랄프로렌 여성 케이블 꽈배기 니트 코튼 크루넥 스웨터,"67,900",AD,지역정보 없음
2024-11-30 05:00:19,[새상품급] 누빔 코트 66~88사이즈 블랙,"19,000",1분 전,지역정보 없음
2024-11-30 05:00:19,"[L,100]폴로 여성 브이넥 니트 스웨터 오렌지","30,000",1분 전,지역정보 없음
2024-11-30 05:00:19,온드민 로우 후드니트 팝니다,"83,000",1분 전,지역정보 없음
2024-11-30 05:00:19,새상품 나이키 스포츠웨어 피닉스 플리스 DQ5616-237 바로크 브라운,"62,000",1분 전,지역정보 없음
